"","year","x10006","x12018","x19000","x20000","x99999"
"1",1975,0,285.430856422179,26.4833484208378,229.965123933909,1707.49780344321
"2",1976,0,265.140295650309,36.4550389413801,369.847596996301,2223.98597220319
"3",1977,0,369.168202800476,37.2856290314274,496.058038619569,2599.0862203417
"4",1978,0,604.120284388162,126.890318464477,504.271719993939,2661.21290481571
"5",1979,0,587.292610442981,182.844658487436,445.368670754309,3207.06536873599
"6",1980,0,598.564528175787,353.131498170424,670.309659810108,3817.62800005746
"7",1981,0,703.810339518502,507.621517789588,610.9570935547,3824.8564872289
"8",1982,3.5884958723923,715.518296338332,566.424235967845,676.045869032554,3798.91275353241
"9",1983,3.06524959613899,684.373486502277,553.328770434574,594.435903431006,4040.06124448939
"10",1984,3.13538118114116,804.21058508024,530.750184334396,533.136411928756,3945.77232268517
"11",1985,3.33703096564004,762.073336877719,436.659315383245,485.468755839295,3741.88237983694
"12",1986,3.77739556627832,861.591066700634,449.167323528532,527.112424688661,3673.6736896303
"13",1987,3.47158460538504,936.1726927516,455.219089860461,635.91400956249,3855.55070654533
"14",1988,5.59155118667728,1165.10257143713,464.810510807627,727.906987749544,3417.21151388096
"15",1989,6.71913554025118,1169.69658162121,482.633634354141,727.300820635088,4012.82974142783
"16",1990,6.88978289823741,1287.09531121071,485.613528504457,1426.98826803896,3965.25216291271
"17",1991,6.57613156445305,1364.19122319649,581.589433597654,1562.21940840371,3966.48048324335
"18",1992,5.85938448264255,1546.87143177117,588.921098241071,1662.69033702911,4137.02688821506
"19",1993,6.7096342880846,2309.63303676222,705.258341189972,1931.49656932467,4402.38476339315
"20",1994,6.41178425606943,2764.72965057233,752.136351259311,2239.44984580502,4629.68905807512
"21",1995,6.16995765829867,2957.89437550678,788.78258051834,2239.4386329122,4196.47433218768
"22",1996,6.66887613209877,2614.16146168804,719.643057284532,2332.14782431406,3903.61088098505
"23",1997,25.7308132743142,2680.60464559453,703.443900175964,2594.96452793284,4196.33808221485
"24",1998,25.136916681321,3135.71356701211,703.321793360234,2741.51039931669,4045.36771851039
"25",1999,25.1492455754235,3041.06009729921,715.896893986835,4174.45844854408,3678.85801200068
"26",2000,25.0021798256558,3041.6361202852,915.892206106498,4297.62914847036,3789.77194216586
"27",2001,25.2314401997862,2976.91295240659,841.000826912506,4355.54316337849,3806.21430119517
"28",2002,25.257983190702,2985.67335617411,842.931865621943,2987.83097463301,3512.36287400578
"29",2003,24.6043926059178,3019.97536861818,832.600033507202,3082.64587867971,3589.43833920324
"30",2004,24.7642784201735,2978.09681778645,898.597138237532,2994.88140578994,3617.88807255154
"31",2005,24.7755785984711,2997.63161202636,1026.58173321923,3507.08070993276,3656.33901216509
"32",2006,23.2840854268747,3006.79633356471,1019.23550600507,3774.34178847204,4109.30088873678
"33",2007,23.3800475041175,3638.51754531751,1176.13409986707,3825.77298196032,4125.67295872783
"34",2008,23.4871041561726,3330.48603793423,1175.68081975717,5886.09020057103,4174.22650209053
"35",2009,636.429745775875,3338.54676850178,1143.00221987821,6860.37609477716,4299.64522318967
"36",2010,636.142840504991,3347.93139288252,1164.68318713948,7071.24876218972,4302.47957061341
"37",2011,636.142840504991,3548.44853678513,1171.9072413498,8098.6636191236,5051.26447733689
"38",2012,679.192947126829,4249.68739578269,1169.73660092291,8295.8534558696,4421.9585610269
"39",2013,665.873003591338,4110.33912927279,1170.91824426089,8553.50346190739,4679.7308869273
"40",2014,670.28457409874,5824.66001300444,1147.99633638264,8735.71000032565,4593.29784185557
